Date,open,high,low,close,volume,dividends,stock splits
1983-01-03,2.6128920677770764,2.639645138608758,2.5950565208726317,2.599515199661255,772620.0,0.0,0.0
1983-01-04,2.599513466386886,2.6396433785770177,2.5861371062399745,2.630725860595703,1441572.0,0.0,0.0
1983-01-05,2.6574784043551594,2.7243613567225573,2.6574784043551594,2.719902515411377,3095370.0,0.0,0.0
1983-01-06,2.719902889463254,2.755573624858277,2.719902889463254,2.7466559410095215,1644018.0,0.0,0.0
1983-01-07,2.7466555672501127,2.8179973610318507,2.7466555672501127,2.8046205043792725,1429836.0,0.0,0.0
1983-01-10,2.8046222071549947,2.884881732300109,2.7867868310560575,2.867046356201172,696336.0,0.0,0.0
1983-01-11,2.867043714616066,2.880420234365652,2.840290675116894,2.849208354949951,1812234.0,0.0,0.0
1983-01-12,2.858128116720725,2.9829760580257307,2.858128116720725,2.9205522537231445,2657226.0,0.0,0.0
1983-01-13,2.9205510388968614,2.996351341163124,2.9160921975870813,2.9695982933044434,1305630.0,0.0,0.0
1983-01-14,2.982976483919409,3.0989067554473877,2.982976483919409,3.0989067554473877,1971648.0,0.0,0.0
1983-01-17,3.098907199601906,3.174707887784382,3.0855306662814574,3.1390371322631836,1673358.0,0.0,0.0
1983-01-18,3.139034348820073,3.139034348820073,3.076610249310716,3.1211986541748047,1353552.0,0.0,0.0
1983-01-19,3.121201870310658,3.156872963657621,3.107825667768014,3.1479549407958984,1173600.0,0.0,0.0
1983-01-20,3.1479536487781963,3.1702481977321657,3.125659432524066,3.130118608474731,766752.0,0.0,0.0
1983-01-21,3.103363959897625,3.103363959897625,3.0409398536503764,3.05431604385376,938880.0,0.0,0.0
1983-01-24,2.969599115061063,2.969599115061063,2.898257301662959,2.9428460597991943,1255752.0,0.0,0.0
1983-01-25,2.965140253555264,3.0320232239820046,2.965140253555264,3.02756404876709,1181424.0,0.0,0.0
1983-01-26,3.0275649778817257,3.1212010321347607,3.0052707584643095,3.0855302810668945,909540.0,0.0,0.0
1983-01-27,3.085527655625639,3.1747047901153564,3.0810691482357373,3.1747047901153564,1068954.0,0.0,0.0
1983-01-28,3.1747050114887743,3.2103757346921533,3.1211985939840794,3.156869649887085,1028856.0,0.0,0.0
1983-01-31,3.1568715757299075,3.2103776931762695,3.1479535567890173,3.2103776931762695,939858.0,0.0,0.0
1983-02-01,3.2103776253950103,3.2861782895434604,3.1836245672366714,3.1880834102630615,1445484.0,0.0,0.0
1983-02-02,3.1880844211048314,3.21483748774573,3.0855306662814574,3.1390371322631836,1382892.0,0.0,0.0
1983-02-03,3.1390342882853957,3.156869649887085,3.103363565082017,3.156869649887085,1442550.0,0.0,0.0
1983-02-04,3.1568714895607157,3.228213310241699,3.1568714895607157,3.228213310241699,1403430.0,0.0,0.0
1983-02-07,3.2282138742895894,3.246048916701277,3.192542791366577,3.192542791366577,1168710.0,0.0,0.0
1983-02-08,3.1925440653057215,3.2192971386485034,3.1925440653057215,3.205920934677124,877266.0,0.0,0.0
