symbol,current_price,current_market_cap,company_name,sector,exchange
CB,324.95,127884397450.0,Chubb Limited,Financial Services,NYSE
CBOE,274.66,28741662215.0,"Cboe Global Markets, Inc.",Financial Services,CBOE
CBRE,142.31,42350459403.0,"CBRE Group, Inc.",Real Estate,NYSE
CCI,90.38,39358592924.0,Crown Castle Inc.,Real Estate,NYSE
CCK,110.79,12779404920.0,"Crown Holdings, Inc.",Consumer Cyclical,NYSE
CCL,31.77,43916214267.0,Carnival Corporation & plc,Consumer Cyclical,NYSE
CDNS,299.46,81513311460.0,"Cadence Design Systems, Inc.",Technology,NASDAQ
CE,58.85,6444363012.0,Celanese Corporation,Basic Materials,NYSE
CF,94.66,15332361151.0,"CF Industries Holdings, Inc.",Basic Materials,NYSE
CFG,65.1,27959549927.0,"Citizens Financial Group, Inc.",Financial Services,NYSE
CHD,101.45,24714102412.0,"Church & Dwight Co., Inc.",Consumer Defensive,NYSE
CHRW,176.01,20793324700.0,"C.H. Robinson Worldwide, Inc.",Industrials,NASDAQ
CHTR,239.09,30940485556.0,"Charter Communications, Inc.",Communication Services,NASDAQ
CI,291.44,77851148106.0,Cigna Corporation,Healthcare,NYSE
CINF,162.77,25395212630.0,Cincinnati Financial Corporation,Financial Services,NASDAQ
CL,96.67,77922303550.0,Colgate-Palmolive Company,Consumer Defensive,NYSE
CLX,125.94,15362208679.0,The Clorox Company,Consumer Defensive,NYSE
CMA,88.67,11348051950.0,Comerica Incorporated,Financial Services,NYSE
CMCSA,31.57,115037749239.0,Comcast Corporation,Communication Services,NASDAQ
CME,303.07,108957433675.0,CME Group Inc.,Financial Services,NASDAQ
CMG,36.3,47998689258.0,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,NYSE
CMI,601.01,83038546650.0,Cummins Inc.,Industrials,NYSE
CMS,76.74,23514738638.0,CMS Energy Corporation,Utilities,NYSE
CNC,40.58,19945800440.0,Centene Corporation,Healthcare,NYSE
CNP,42.52,27759958968.0,"CenterPoint Energy, Inc.",Utilities,NYSE
COF,207.37,131832089282.0,Capital One Financial Corporation,Financial Services,NYSE
COO,82.99,16499152520.0,"The Cooper Companies, Inc.",Healthcare,NASDAQ
COP,111.43,137696279600.0,ConocoPhillips,Energy,NYSE
COR,360.83,70192505986.0,"Cencora, Inc.",Healthcare,NYSE
COST,1018.48,452072117715.0,Costco Wholesale Corporation,Consumer Defensive,NASDAQ
CPB,29.49,8791978885.0,Campbell Soup Company,Consumer Defensive,NASDAQ
CPRI,20.42,2433285283.0,Capri Holdings Limited,Consumer Cyclical,NYSE
CPRT,37.49,36290982973.0,"Copart, Inc.",Industrials,NASDAQ
CPT,108.53,11569556410.0,Camden Property Trust,Real Estate,NYSE
CRM,189.72,180613447589.0,"Salesforce, Inc.",Technology,NYSE
CRWD,429.64,108311573762.0,"CrowdStrike Holdings, Inc.",Technology,NASDAQ
CSCO,76.85,303641617167.0,"Cisco Systems, Inc.",Technology,NASDAQ
CSX,40.87,76105537392.0,CSX Corporation,Industrials,NASDAQ
CTRA,31.37,23884413242.0,Coterra Energy Inc.,Energy,NYSE
CTSH,66.55,32120122113.0,Cognizant Technology Solutions Corporation,Technology,NASDAQ
CTVA,75.03,50459475945.0,"Corteva, Inc.",Basic Materials,NYSE
CVS,78.48,99843040800.0,CVS Health Corporation,Healthcare,NYSE
CVX,183.71,367301237364.0,Chevron Corporation,Energy,NYSE
D,66.51,56793772053.0,"Dominion Energy, Inc.",Utilities,NYSE
DAL,69.0,45066018783.0,"Delta Air Lines, Inc.",Industrials,NYSE
DD,50.22,21040941022.0,"DuPont de Nemours, Inc.",Basic Materials,NYSE
DDOG,125.2,43903975396.0,"Datadog, Inc.",Technology,NASDAQ
DE,602.92,163436212217.0,Deere & Company,Industrials,NYSE
DELL,117.49,78741822908.0,Dell Technologies Inc.,Technology,NYSE
DFS,200.05,50343181050.0,Discover Financial Services,Financial Services,NYSE
DG,153.84,33863087115.0,Dollar General Corporation,Consumer Defensive,NYSE
DGX,206.87,23012706186.0,Quest Diagnostics Incorporated,Healthcare,NYSE
DHI,167.78,48840683506.0,"D.R. Horton, Inc.",Consumer Cyclical,NYSE
DHR,212.58,150272802000.0,Danaher Corporation,Healthcare,NYSE
DIS,105.45,187003649976.0,The Walt Disney Company,Communication Services,NYSE
DLR,180.97,62163556940.0,"Digital Realty Trust, Inc.",Real Estate,NYSE
DLTR,126.06,25712185280.0,"Dollar Tree, Inc.",Consumer Defensive,NASDAQ
DOCU,44.82,8976235860.0,"DocuSign, Inc.",Technology,NASDAQ
DOV,231.63,31768801043.0,Dover Corporation,Industrials,NYSE
DOW,32.49,23312679660.0,Dow Inc.,Basic Materials,NYSE
DPZ,375.5,12686724859.0,"Domino's Pizza, Inc.",Consumer Cyclical,NASDAQ
