Metric,V30_Baseline,V30_Vol_Weighted
Annual Return,10.68575440180104,11.102854096961634
Total Return,171.5534812080281,181.79196790634086
Final Value,271553.4812080281,281791.96790634084
Max Drawdown,-24.06625783402435,-24.26287413236466
Sharpe Ratio,0.8124941337758673,0.838755200299744
2022 Return,-18.38258830916264,-18.628315199026733
Win Rate,54.281098546042,54.24071082390953
