period,train_end,test_start,test_end,baseline_return,ml_return,improvement,baseline_dd,ml_dd,dd_change,baseline_sharpe,ml_sharpe,sharpe_change,baseline_final,ml_final
Period 1: 2011-2013,2010-12-31,2011-01-01,2013-12-31,-2.1399984325908727,-4.613394642237322,-2.4733962096464497,-20.428575273852633,-21.594794339950266,-1.1662190660976322,-0.10941020501090307,-0.3956975730898014,-0.2862873680788983,93731.67743573635,86819.36820528422
Period 2: 2014-2016,2013-12-31,2014-01-01,2016-12-31,14.326478915689655,9.052793195997166,-5.273685719692489,-13.912333179227087,-20.69587465554524,-6.7835414763181525,0.926412977911221,0.711612716106888,-0.21480026180433298,149280.36612436018,129606.56795773204
Period 3: 2017-2019,2016-12-31,2017-01-01,2019-12-31,9.859824494680392,7.831723150344616,-2.0281013443357763,-21.351167561888293,-20.040677044239878,1.3104905176484145,0.73193593215948,0.6406000176833688,-0.09133591447611122,132463.86178149722,125286.25538579302
Period 4: 2020-2024,2019-12-31,2020-01-01,2024-12-31,10.595513529377488,21.879560208610105,11.284046679232617,-22.668686440966713,-24.01237900662478,-1.343692565658067,0.7544552558363191,1.4832651126230363,0.7288098567867172,162821.70493383193,260585.4435865006
