Metric,Baseline,Vol_Weighted,Adaptive_Stops,Combined
Annual Return,10.68575440180104,11.102854096961634,10.737372047660031,10.971700552298325
Total Return,171.5534812080281,181.79196790634086,172.80214357880516,178.53580300839386
Final Value,271553.4812080281,281791.96790634084,272802.14357880515,278535.80300839385
Max Drawdown,-24.06625783402435,-24.26287413236466,-22.80126179296616,-22.989538887116243
Sharpe Ratio,0.8124941337758673,0.838755200299744,0.8157505877078147,0.8283817662575048
2022 Return,-18.38258830916264,-18.628315199026733,-16.97893178831179,-17.220401251899244
Win Rate,54.281098546042,54.24071082390953,53.79644588045234,53.79644588045234
