Metric,V30_Baseline,V30_Adaptive_Stops
Annual Return,10.68575440180104,10.737372047660031
Total Return,171.5534812080281,172.80214357880516
Final Value,271553.4812080281,272802.14357880515
Max Drawdown,-24.06625783402435,-22.80126179296616
Sharpe Ratio,0.8124941337758673,0.8157505877078147
2022 Return,-18.38258830916264,-16.97893178831179
Win Rate,54.281098546042,53.79644588045234
