description,annual_return,total_return,final_value,max_drawdown,sharpe
BASELINE: No Filters,11.309557578243211,186.99328059486473,286993.28059486474,-18.325723093742873,0.8997501445733148
FILTER 1: 50-day MA only,10.77104162083311,173.61940826210162,273619.4082621016,-15.957956482991287,1.0097566131829336
FILTER 4: 50-day MA + 20-day Momentum,10.335730559910417,163.2207633371277,263220.7633371277,-12.903765009883065,1.0616840441495814
FILTER 3: 20-day Momentum only,10.09823751019876,157.6985322399676,257698.5322399676,-15.30200041935586,1.0019850924225766
FILTER 6: All Three Filters,8.514567553181362,123.45831700192926,223458.31700192924,-14.47947130172746,0.9885987492508166
FILTER 5: 200-day MA + 20-day Momentum,6.908777083555351,92.96862993804818,192968.62993804817,-15.695321284530095,0.8300302499442436
FILTER 2: 200-day MA only,5.900930281863714,75.79628668386982,175796.2866838698,-19.654650103474903,0.5679130276884213
